hist_days_low,hist_days_high,n,L0 population constant,L1 demographics (the book),L2 + body measurements,L3 + own behaviour history,L4 + yesterday's context
0,0,71,-0.1852125212037783,-0.19234409540217978,-0.21042683586276656,-0.09333857212679075,-0.09529042092555806
1,2,140,-0.012188283570468306,-0.02273833793972524,-0.023861213283014715,0.061180556821675225,0.055900445093609696
3,6,279,-0.016666389832865613,-0.022851009997414184,-0.02574916667791416,0.14607769119237812,0.14025356906181285
7,13,473,-0.041186365986835005,-0.04951433234783442,-0.05365742840646104,0.23898906497643402,0.23573406569923205
14,27,923,-0.025383099194546954,-0.03440193426913374,-0.033784368632842954,0.3079018856185338,0.30375316441572153
28,55,1602,-0.00996644844392347,-0.019355070295187682,-0.025443576986155403,0.2896889396549942,0.28099834683532743
56,10000,1216,-0.05959330064439472,-0.0738373003647177,-0.08641526626938623,0.25982455095171486,0.25476418272187806
