rung,point,ci_low,ci_high,marginal,marg_ci_low,marg_ci_high,excludes_zero
L0 population constant,-0.0131,-0.1318,-0.0057,,,,
L1 demographics (the book),-0.017,-0.1516,0.0049,-0.0038,-0.0713,0.0321,False
L2 + body measurements,-0.0168,-0.1593,-0.0011,0.0001,-0.0547,0.022,False
L3 + own behaviour history,0.2263,0.0874,0.3089,0.2432,0.1433,0.3693,True
L4 + yesterday's context,0.2292,0.0894,0.3049,0.0029,-0.0125,0.0091,False
